"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"SCPO2","","Scirpus polyphyllus","Vivace","","","","","","","",""
"SCLER","","Scleranthus","","","","","","","","",""
"SCAN2","","Scleranthus annuus","Annuelle","","","","","","","",""
"SCLER2","","Scleria","","","","","","","","",""
"SCMI4","","Scleria minor","Vivace","","","","","","","",""
"SCMU8","","Scleria muehlenbergii","Annuelle, Vivace","","","","","","","",""
"SCOL2","","Scleria oligantha","Vivace","","","","","","","",""
"SCPA5","","Scleria pauciflora","Vivace","","","","","","","",""
"SCPAC","","Scleria pauciflora var. caroliniana","Vivace","","","","","","","",""
"SCPAP2","","Scleria pauciflora var. pauciflora","Vivace","","","","","","","",""
"SCRE","","Scleria reticularis","Annuelle","","","","","","","",""
"SCTR","","Scleria triglomerata","Vivace","","","","","","","",""
"SCVE2","","Scleria verticillata","Annuelle","","","","","","","",""
"SCLER4","","Sclerochloa","","","","","","","","",""
"SCDU2","","Sclerochloa dura","Annuelle","","","","","","","",""
"SCLER5","","Sclerolepis","","","","","","","","",""
"SCUN3","","Sclerolepis uniflora","Vivace","","","","","","","",""
"SCROP","","Scrophularia","","","","","","","","",""
"SCLA","","Scrophularia lanceolata","Vivace","","","","","","","",""
"SCMA2","","Scrophularia marilandica","Vivace","","","","","","","",""
"SCUTE","","Scutellaria","","","","","","","","",""
"SCEL","","Scutellaria elliptica","Vivace","","","","","","","",""
"SCELE","","Scutellaria elliptica var. elliptica","Vivace","","","","","","","",""
"SCGA","","Scutellaria galericulata","Vivace","","","","","","","",""
"SCIN","","Scutellaria incana","Vivace","","","","","","","",""
"SCINI2","","Scutellaria incana var. incana","Vivace","","","","","","","",""
"SCIN2","","Scutellaria integrifolia","Vivace","","","","","","","",""
"SCLA2","","Scutellaria lateriflora","Vivace","","","","","","","",""
"SCLAL2","","Scutellaria lateriflora var. lateriflora","Vivace","","","","","","","",""
"SCNE2","","Scutellaria nervosa","Vivace","","","","","","","",""
"SCOV","","Scutellaria ovata","Vivace","","","","","","","",""
"SCOVO","","Scutellaria ovata ssp. ovata","Vivace","","","","","","","",""
"SCOVR","","Scutellaria ovata ssp. rugosa","Vivace","","","","","","","",""
"SCOVV3","","Scutellaria ovata ssp. virginiana","Vivace","","","","","","","",""
"SCPA7","","Scutellaria parvula","Vivace","","","","","","","",""
"SCPAM","","Scutellaria parvula var. missouriensis","Vivace","","","","","","","",""
"SCPAP3","","Scutellaria parvula var. parvula","Vivace","","","","","","","",""
"SCSA5","","Scutellaria saxatilis","Vivace","","","","","","","",""
"SCSE5","","Scutellaria serrata","Vivace","","","","","","","",""
"SECAL","","Secale","","","","","","","","",""
"SECE","","Secale cereale","Annuelle","Printemps, été, automne","Vert","4.5","8.2","8","50","Intolérant","-33"
"SECUR3","","Securigera","","","","","","","","",""
"SECR8","","Securigera cretica","Annuelle","","","","","","","",""
"SEVA4","","Securigera varia","Vivace","","","","","","","",""
"SEDUM","","Sedum","","","","","","","","",""
"SEAC","","Sedum acre","Vivace","","","","","","","",""
"SEGL3","","Sedum glaucophyllum","Vivace","","","","","","","",""
"SESA","","Sedum sarmentosum","Vivace","","","","","","","",""
"SETE3","","Sedum ternatum","Vivace","","","","","","","",""
"SELAG","","Selaginella","","","","","","","","",""
"SEAP","","Selaginella apoda","Vivace","","","","","","","",""
"SERU","","Selaginella rupestris","Vivace","","","","","","","",""
"SENEC","","Senecio","","","","","","","","",""
"SECI2","","Senecio cineraria","Vivace","","","","","","","",""
"SEVU","","Senecio vulgaris","Annuelle, Biennale","Printemps et été","Vert","5.0","8.5","16","55","Intolérant","47"
"SENNA","","Senna","","","","","","","","",""
"SEBA3","","Senna bauhinioides","Vivace","","","","","","","",""
"SEHE3","","Senna hebecarpa","Vivace","","","","","","","",""
"SEIT2","","Senna italica","Vivace","","","","","","","",""
"SEMA11","","Senna marilandica","Vivace","Printemps et été","Vert","4.0","7.0","20","60","Intermédiaire","-18"
"SEOB4","","Senna obtusifolia","Annuelle, Vivace","","","","","","","",""
"SEOC2","","Senna occidentalis","Annuelle, Vivace","","","","","","","",""
"SERIC","","Sericocarpus","","","","","","","","",""
"SEAS3","","Sericocarpus asteroides","Vivace","","","","","","","",""
"SELI5","","Sericocarpus linifolius","Vivace","","","","","","","",""
"SESBA","","Sesbania","","","","","","","","",""
"SEHE8","","Sesbania herbacea","Annuelle, Vivace","","","","","","","",""
"SESEL","","Seseli","","","","","","","","",""
"SELI2","","Seseli libanotis","Biennale","","","","","","","",""
"SESUV","","Sesuvium","","","","","","","","",""
"SEMA3","","Sesuvium maritimum","Annuelle","","","","","","","",""
"SETAR","","Setaria","","","","","","","","",""
"SEFA","","Setaria faberi","Annuelle","","","","","","","",""
"SEGR6","","Setaria grisebachii","Annuelle","","","","","","","",""
"SEIT","","Setaria italica","Annuelle","Printemps et été","Vert","5.3","6.9","25","60","Intolérant","52"
"SEMA6","","Setaria magna","Annuelle","","","","","","","",""
"SEPA10","","Setaria parviflora","Vivace","","","","","","","",""
"SEPU8","","Setaria pumila","Annuelle","Printemps et été","Vert","5.0","7.0","25","60","Intolérant","52"
"SEPUP2","","Setaria pumila ssp. pumila","Annuelle","","","","","","","",""
"SEVE3","","Setaria verticillata","Annuelle","","","","","","","",""
"SEVE5","","Setaria verticilliformis","Annuelle","","","","","","","",""
"SEVI4","","Setaria viridis","Annuelle","","","","","","","",""
"SEVIV","","Setaria viridis var. viridis","Annuelle","","","","","","","",""
"SHERA","","Sherardia","","","","","","","","",""
"SHAR2","","Sherardia arvensis","Annuelle","","","","","","","",""
"SIBAR","","Sibara","","","","","","","","",""
"SIVI2","","Sibara virginica","Annuelle, Biennale","","","","","","","",""
"SIBBA2","","Sibbaldiopsis","","","","","","","","",""
"SITR3","","Sibbaldiopsis tridentata","Vivace","","","","","","","",""
"SICYO","","Sicyos","","","","","","","","",""
"SIAN","","Sicyos angulatus","Annuelle","","","","","","","",""
"SIDA","","Sida","","","","","","","","",""
"SICO7","","Sida cordata","Vivace","","","","","","","",""
"SIHE3","","Sida hermaphrodita","Vivace","","","","","","","",""
"SIRH","","Sida rhombifolia","Annuelle, Vivace","","","","","","","",""
"SISP","","Sida spinosa","Annuelle, Vivace","","","","","","","",""
"SIDER2","","Sideroxylon","","","","","","","","",""
"SILY","","Sideroxylon lycioides","Vivace","Printemps, été, automne","Vert","4.0","7.0","33","51","Tolérant","-27"
"SILEN","","Silene","","","","","","","","",""
"SIAN2","","Silene antirrhina","Annuelle","","","","","","","",""
"SIAR","","Silene armeria","Annuelle","","","","","","","",""
"SICA6","","Silene caroliniana","Vivace","","","","","","","",""
"SICAP","","Silene caroliniana ssp. pensylvanica","Vivace","","","","","","","",""
"SICO3","","Silene conica","Annuelle","","","","","","","",""
"SICO4","","Silene conoidea","Annuelle","","","","","","","",""
"SICS","","Silene csereii","Biennale, Vivace","","","","","","","",""
"SIDI2","","Silene dichotoma","Annuelle","","","","","","","",""
"SIDI4","","Silene dioica","Vivace","","","","","","","",""
"SIDR","","Silene drummondii","Vivace","","","","","","","",""
"SIDRD","","Silene drummondii var. drummondii","Vivace","","","","","","","",""
"SILA21","","Silene latifolia","Biennale, Vivace","","","","","","","",""
"SILAA3","","Silene latifolia ssp. alba","Biennale, Vivace","","","","","","","",""
"SINI","","Silene nivea","Vivace","","","","","","","",""
"SINO","","Silene noctiflora","Annuelle","","","","","","","",""
"SIST","","Silene stellata","Vivace","","","","","","","",""
"SIVI4","","Silene virginica","Vivace","","","","","","","",""
"SIVIV","","Silene virginica var. virginica","Vivace","","","","","","","",""
"SIVU","","Silene vulgaris","Vivace","","","","","","","",""
"SILPH","","Silphium","","","","","","","","",""
"SIAS2","","Silphium asteriscus","Vivace","","","","","","","",""
"SIASA3","","Silphium asteriscus var. asteriscus","Vivace","","","","","","","",""
"SIPE2","","Silphium perfoliatum","Vivace","Été","Vert","4.5","7.5","16","51","Intermédiaire","-49"
"SIPEC2","","Silphium perfoliatum var. connatum","Vivace","","","","","","","",""
"SIPEP","","Silphium perfoliatum var. perfoliatum","Vivace","","","","","","","",""
"SITR7","","Silphium trifoliatum","Vivace","","","","","","","",""
"SITRT","","Silphium trifoliatum var. trifoliatum","Vivace","","","","","","","",""
"SILYB","","Silybum","","","","","","","","",""
"SIMA3","","Silybum marianum","Annuelle, Biennale","","","","","","","",""
"SIMSI","","Simsia","","","","","","","","",""
"SILA11","","Simsia lagasceiformis","Annuelle, Vivace","","","","","","","",""
"SINAP","","Sinapis","","","","","","","","",""
"SIAL5","","Sinapis alba","Annuelle","","","","","","","",""
"SIAR4","","Sinapis arvensis","Annuelle","","","","","","","",""
"SIARA","","Sinapis arvensis ssp. arvensis","Annuelle","","","","","","","",""
"SISYM","","Sisymbrium","","","","","","","","",""
"SIAL2","","Sisymbrium altissimum","Annuelle, Biennale","","","","","","","",""
"SILO3","","Sisymbrium loeselii","Annuelle, Biennale","","","","","","","",""
"SIOF","","Sisymbrium officinale","Annuelle","","","","","","","",""
"SISYR","","Sisyrinchium","","","","","","","","",""
"SIAN3","","Sisyrinchium angustifolium","Vivace","Printemps et été","Vert","5.0","7.0","32","60","Intermédiaire","-3"
"SIAT","","Sisyrinchium atlanticum","Vivace","","","","","","","",""
"SIFU2","","Sisyrinchium fuscatum","Vivace","","","","","","","",""
"SIMU3","","Sisyrinchium mucronatum","Vivace","","","","","","","",""
"SIUM","","Sium","","","","","","","","",""
"SISU2","","Sium suave","Vivace","","","","","","","",""
"SMALL","","Smallanthus","","","","","","","","",""
"SMUV","","Smallanthus uvedalius","Vivace","","","","","","","",""
"SMILA2","","Smilax","","","","","","","","",""
"SMBO2","","Smilax bona-nox","Vivace","Printemps et été","Vert","4.5","8.5","20","60","Tolérant","-18"
"SMBOB2","","Smilax bona-nox var. bona-nox","Vivace","","","","","","","",""
"SMEC","","Smilax ecirrhata","Vivace","","","","","","","",""
"SMGL","","Smilax glauca","Vivace","Printemps et été","Gris-vert","4.5","7.5","35","60","Tolérant","-13"
"SMHE","","Smilax herbacea","Vivace","","","","","","","",""
"SMLA","","Smilax laurifolia","Vivace","Printemps et été","Vert","4.0","7.0","45","60","Tolérant","-8"
"SMPS","","Smilax pseudochina","Vivace","","","","","","","",""
"SMPU2","","Smilax pulverulenta","Vivace","","","","","","","",""
"SMRO","","Smilax rotundifolia","Vivace","Été","Vert","5.0","7.5","32","60","Intolérant","-33"
"SMTA2","","Smilax tamnoides","Vivace","","","","","","","",""
"SMWA","","Smilax walteri","Vivace","Printemps et été","Vert","4.0","7.0","40","60","Tolérant","-8"
"SOLAN","","Solanum","","","","","","","","",""
"SOAD","","Solanum adscendens","Annuelle","","","","","","","",""
"SOCA3","","Solanum carolinense","Vivace","","","","","","","",""
"SOCAC4","","Solanum carolinense var. carolinense","Vivace","","","","","","","",""
"SODU","","Solanum dulcamara","Vivace","","","","","","","",""
"SODUD","","Solanum dulcamara var. dulcamara","Vivace","","","","","","","",""
"SOEL","","Solanum elaeagnifolium","Vivace","","","","","","","",""
"SOLY2","","Solanum lycopersicum","Annuelle, Vivace","","","","","","","",""
"SOLYL","","Solanum lycopersicum var. lycopersicum","Annuelle, Vivace","Year Round","Vert","5.5","7.0","60","80","Intermédiaire","32"
"SONI","","Solanum nigrum","Annuelle, Vivace","","","","","","","",""
"SOPH","","Solanum physalifolium","Annuelle","","","","","","","",""
"SOPT7","","Solanum ptycanthum","Annuelle","","","","","","","",""
"SORO","","Solanum rostratum","Annuelle","","","","","","","",""
"SOTO4","","Solanum torvum","Vivace","","","","","","","",""
"SOTU","","Solanum tuberosum","Vivace","","","","","","","",""
"SOVI9","","Solanum virginianum","Annuelle","","","","","","","",""
"SOLID","","Solidago","","","","","","","","",""
"SOAL6","","Solidago altissima","Vivace","","","","","","","",""
"SOAR","","Solidago arguta","Vivace","","","","","","","",""
"SOARA","","Solidago arguta var. arguta","Vivace","","","","","","","",""
"SOARC","","Solidago arguta var. caroliniana","Vivace","","","","","","","",""
"SOARH","","Solidago arguta var. harrisii","Vivace","","","","","","","",""
"SOBI","","Solidago bicolor","Vivace","","","","","","","",""
"SOCA4","","Solidago caesia","Vivace","Printemps et été","Vert foncé","5.5","7.0","32","50","Intermédiaire","-28"
"SOCA6","","Solidago canadensis","Vivace","Printemps et été","Vert","4.8","7.5","16","60","Intolérant","-43"
"SOCAG","","Solidago canadensis var. gilvocanescens","Vivace","","","","","","","",""
"SOCAH","","Solidago canadensis var. hargeri","Vivace","","","","","","","",""
"SOCU","","Solidago curtisii","Vivace","","","","","","","",""
"SOER","","Solidago erecta","Vivace","","","","","","","",""
"SOFI","","Solidago fistulosa","Vivace","Été et automne","Vert foncé","4.5","7.0","40","65","Tolérant","7"
"SOFL2","","Solidago flexicaulis","Vivace","Printemps, été, automne","Vert","5.3","7.0","20","55","Intermédiaire","-18"
"SOGI","","Solidago gigantea","Vivace","Été","Vert","4.0","8.0","14","50","Intermédiaire","-33"
"SOHI","","Solidago hispida","Vivace","","","","","","","",""
"SOHIH","","Solidago hispida var. hispida","Vivace","","","","","","","",""
"SOJU","","Solidago juncea","Vivace","","","","","","","",""
"SOLA4","","Solidago latissimifolia","Vivace","","","","","","","",""
"SOMI2","","Solidago missouriensis","Vivace","Printemps, été, automne","Vert","5.5","7.5","12","35","Intermédiaire","-38"
"SOMIF","","Solidago missouriensis var. fasciculata","Vivace","","","","","","","",""
"SONE","","Solidago nemoralis","Vivace","Printemps et été","Vert","6.5","7.5","15","45","Intolérant","-33"
"SONEN","","Solidago nemoralis var. nemoralis","Vivace","","","","","","","",""
"SOOD","","Solidago odora","Vivace","","","","","","","",""
"SOODO","","Solidago odora var. odora","Vivace","","","","","","","",""
"SOPA2","","Solidago patula","Vivace","Été","Vert","4.5","7.0","20","60","Intermédiaire","-43"
"SOPAP","","Solidago patula var. patula","Vivace","","","","","","","",""
"SOPU","","Solidago puberula","Vivace","","","","","","","",""
"SOPUP2","","Solidago puberula var. puberula","Vivace","","","","","","","",""
"SOPUP","","Solidago puberula var. pulverulenta","Vivace","","","","","","","",""
"SORO2","","Solidago roanensis","Vivace","","","","","","","",""
"SORU2","","Solidago rugosa","Vivace","Printemps et été","Vert","5.0","7.5","24","60","Intermédiaire","-33"
"SORUA","","Solidago rugosa ssp. aspera","Vivace","","","","","","","",""
"SORUR","","Solidago rugosa ssp. rugosa","Vivace","","","","","","","",""
"SORUR2","","Solidago rugosa ssp. rugosa var. rugosa","Vivace","","","","","","","",""
"SORUV","","Solidago rugosa ssp. rugosa var. villosa","Vivace","","","","","","","",""
"SORU3","","Solidago rupestris","Vivace","","","","","","","",""
"SOSE","","Solidago sempervirens","Vivace","Printemps et été","Vert foncé","5.5","7.5","35","60","Intolérant","-13"
"SOSEM","","Solidago sempervirens var. mexicana","Vivace","","","","","","","",""
"SOSES","","Solidago sempervirens var. sempervirens","Vivace","","","","","","","",""
"SOSI3","","Solidago simplex","Vivace","","","","","","","",""
"SOSIR","","Solidago simplex ssp. randii","Vivace","","","","","","","",""
"SOSIR2","","Solidago simplex ssp. randii var. racemosa","Vivace","","","","","","","",""
"SOSP2","","Solidago speciosa","Vivace","","","","","","","",""
"SOSPS4","","Solidago speciosa var. speciosa","Vivace","","","","","","","",""
"SOSQ","","Solidago squarrosa","Vivace","","","","","","","",""
"SOST","","Solidago stricta","Vivace","","","","","","","",""
"SOUL","","Solidago uliginosa","Vivace","","","","","","","",""
"SOULU","","Solidago uliginosa var. uliginosa","Vivace","Printemps, été, automne","Vert","4.5","5.7","36","55","Intermédiaire","-23"
"SOUL2","","Solidago ulmifolia","Vivace","","","","","","","",""
"SOULU2","","Solidago ulmifolia var. ulmifolia","Vivace","","","","","","","",""
"SONCH","","Sonchus","","","","","","","","",""
"SOAR2","","Sonchus arvensis","Vivace","","","","","","","",""
"SOARA2","","Sonchus arvensis ssp. arvensis","Vivace","","","","","","","",""
"SOARU","","Sonchus arvensis ssp. uliginosus","Vivace","","","","","","","",""
"SOAS","","Sonchus asper","Annuelle","","","","","","","",""
"SOOL","","Sonchus oleraceus","Annuelle","","","","","","","",""
"SORBU","","Sorbus","","","","","","","","",""
"SOAM3","","Sorbus americana","Vivace","Printemps et été","Vert","5.3","6.8","24","60","Intermédiaire","-38"
"SOAU","","Sorbus aucuparia","Vivace","Printemps et été","Vert","5.5","7.5","28","60","Intermédiaire","-33"
"SORGH","","Sorghastrum","","","","","","","","",""
"SOEL3","","Sorghastrum elliottii","Vivace","","","","","","","",""
"SONU2","","Sorghastrum nutans","Vivace","Été et automne","Vert","4.8","8.0","11","45","Intolérant","-38"
"SORGH2","","Sorghum","","","","","","","","",""
"SOBI2","","Sorghum bicolor","Annuelle","Été et automne","Vert","5.5","7.5","18","60","Intolérant","47"
"SOBIB","","Sorghum bicolor ssp. bicolor","Annuelle","Été et automne","Vert","5.5","7.5","18","60","Intolérant","47"
"SOHA","","Sorghum halepense","Vivace","Été et automne","Vert","5.0","7.0","32","60","Intolérant","-13"
"SPARG","","Sparganium","","","","","","","","",""
"SPAM","","Sparganium americanum","Vivace","Printemps","Vert","4.9","7.3","35","50","Intermédiaire","-33"
"SPAN","","Sparganium androcladum","Vivace","","","","","","","",""
"SPEM2","","Sparganium emersum","Vivace","","","","","","","",""
"SPEU","","Sparganium eurycarpum","Vivace","Printemps","Vert","5.0","8.5","10","50","Intermédiaire","-33"
"SPART","","Spartina","","","","","","","","",""
"SPAL","","Spartina alterniflora","Vivace","Printemps et été","Vert","5.4","7.0","40","100","Intolérant","-23"
"SPCA","","Spartina ×caespitosa","Vivace","","","","","","","",""
"SPCY","","Spartina cynosuroides","Vivace","Printemps et été","Vert","5.8","7.5","40","60","Intolérant","-3"
"SPPA","","Spartina patens","Vivace","Printemps et été","Vert","5.5","7.5","36","65","Intolérant","-3"
"SPPE","","Spartina pectinata","Vivace","Printemps et été","Vert","6.0","8.5","14","35","Intolérant","-38"
"SPERG","","Spergula","","","","","","","","",""
"SPAR","","Spergula arvensis","Annuelle","","","","","","","",""
"SPERG2","","Spergularia","","","","","","","","",""
"SPRU","","Spergularia rubra","Annuelle, Vivace","","","","","","","",""
"SPSA5","","Spergularia salina","Annuelle, Biennale, Vivace","","","","","","","",""
"SPERM","","Spermacoce","","","","","","","","",""
"SPGL2","","Spermacoce glabra","Vivace","","","","","","","",""
"SPERM2","","Spermolepis","","","","","","","","",""
"SPIN","","Spermolepis inermis","Annuelle","","","","","","","",""
"SPHAE","","Sphaeralcea","","","","","","","","",""
"SPAN3","","Sphaeralcea angustifolia","Vivace","","","","","","","",""
"SPHAG2","","Sphagnum","","","","","","","","",""
"SPAT3","","Sphagnum atlanticum","","","","","","","","",""
"SPCO70","","Sphagnum compactum","","","","","","","","",""
"SPHEN","","Sphenopholis","","","","","","","","",""
"SPIN3","","Sphenopholis intermedia","Vivace","","","","","","","",""
"SPNI","","Sphenopholis nitida","Vivace","","","","","","","",""
"SPOB","","Sphenopholis obtusata","Annuelle, Vivace","Printemps","Vert","5.0","7.5","10","60","Intermédiaire","-43"
"SPPE3","","Sphenopholis pensylvanica","Vivace","","","","","","","",""
"SPIGE","","Spigelia","","","","","","","","",""
"SPMA3","","Spigelia marilandica","Vivace","","","","","","","",""
"SPIRA","","Spiraea","","","","","","","","",""
"SPAL2","","Spiraea alba","Vivace","Printemps et été","Vert","4.3","6.8","18","55","Intermédiaire","-33"
"SPALA","","Spiraea alba var. alba","Vivace","","","","","","","",""
"SPALL","","Spiraea alba var. latifolia","Vivace","","","","","","","",""
"SPBE2","","Spiraea betulifolia","Vivace","Printemps et été","Vert","6.0","7.5","14","24","Tolérant","-38"
"SPBEC","","Spiraea betulifolia var. corymbosa","Vivace","","","","","","","",""
"SPBI2","","Spiraea ×billiardii","Vivace","","","","","","","",""
"SPJA","","Spiraea japonica","Vivace","","","","","","","",""
"SPJAF","","Spiraea japonica var. fortunei","Vivace","","","","","","","",""
"SPPR","","Spiraea prunifolia","Vivace","","","","","","","",""
"SPTH2","","Spiraea thunbergii","Vivace","","","","","","","",""
"SPTO2","","Spiraea tomentosa","Vivace","Printemps et été","Vert","4.5","7.0","30","60","Intolérant","-33"
"SPVA2","","Spiraea ×vanhouttei","Vivace","","","","","","","",""
"SPIRA2","","Spiranthes","","","","","","","","",""
"SPCE","","Spiranthes cernua","Vivace","Printemps et été","Vert","4.5","6.5","24","55","Intolérant","-38"
"SPLA4","","Spiranthes lacera","Vivace","","","","","","","",""
"SPLAG","","Spiranthes lacera var. gracilis","Vivace","","","","","","","",""
"SPLAL","","Spiranthes lacera var. lacera","Vivace","","","","","","","",""
"SPLA3","","Spiranthes laciniata","Vivace","","","","","","","",""
"SPLU2","","Spiranthes lucida","Vivace","","","","","","","",""
"SPOC","","Spiranthes ochroleuca","Vivace","","","","","","","",""
"SPOD","","Spiranthes odorata","Vivace","","","","","","","",""
"SPOV","","Spiranthes ovalis","Vivace","","","","","","","",""
"SPOVE","","Spiranthes ovalis var. erostellata","Vivace","","","","","","","",""
"SPPR2","","Spiranthes praecox","Vivace","","","","","","","",""
"SPTU","","Spiranthes tuberosa","Vivace","","","","","","","",""
"SPVE","","Spiranthes vernalis","Vivace","","","","","","","",""
"SPIRO","","Spirodela","","","","","","","","",""
"SPPO","","Spirodela polyrrhiza","Vivace","Printemps","Vert","5.0","8.6","12","55","Intermédiaire","-38"
"SPORO","","Sporobolus","","","","","","","","",""
"SPCL","","Sporobolus clandestinus","Vivace","","","","","","","",""
"SPCO16","","Sporobolus compositus","Vivace","","","","","","","",""
"SPCOC2","","Sporobolus compositus var. compositus","Vivace","Printemps et été","Vert","5.5","7.0","16","50","Intolérant","-38"
"SPHE","","Sporobolus heterolepis","Vivace","Printemps et été","Vert","6.0","7.2","20","35","Intermédiaire","-38"
"SPIN4","","Sporobolus indicus","Annuelle, Vivace","","","","","","","",""
"SPINI2","","Sporobolus indicus var. indicus","Annuelle, Vivace","","","","","","","",""
"SPNE2","","Sporobolus neglectus","Annuelle","","","","","","","",""
"SPPY2","","Sporobolus pyramidatus","Annuelle, Vivace","","","","","","","",""
"SPVA","","Sporobolus vaginiflorus","Annuelle","","","","","","","",""
"SPVAV2","","Sporobolus vaginiflorus var. vaginiflorus","Annuelle","","","","","","","",""
"SPVI3","","Sporobolus virginicus","Vivace","Year Round","Vert","6.0","8.0","20","40","Intermédiaire","17"
"STACH","","Stachys","","","","","","","","",""
"STAS","","Stachys aspera","Annuelle","","","","","","","",""
"STCL","","Stachys clingmanii","Annuelle","","","","","","","",""
"STCO9","","Stachys cordata","Vivace","","","","","","","",""
"STHY3","","Stachys hyssopifolia","Annuelle","","","","","","","",""
"STLA5","","Stachys latidens","Vivace","","","","","","","",""
"STLO6","","Stachys longispicata","Vivace","","","","","","","",""
"STPA","","Stachys palustris","Vivace","Printemps et été","Vert foncé","5.7","8.0","14","55","Intermédiaire","-38"
"STTE","","Stachys tenuifolia","Vivace","Printemps et été","Vert","5.7","7.4","28","55","Tolérant","-33"
"STAPH","","Staphylea","","","","","","","","",""
"STTR","","Staphylea trifolia","Vivace","","","","","","","",""
"STELL","","Stellaria","","","","","","","","",""
"STAL4","","Stellaria alsine","Annuelle","","","","","","","",""
"STBO3","","Stellaria borealis","Vivace","","","","","","","",""
"STBOB","","Stellaria borealis ssp. borealis","Vivace","","","","","","","",""
"STGR","","Stellaria graminea","Vivace","","","","","","","",""
"STLO","","Stellaria longifolia","Vivace","Printemps et été","Vert foncé","4.0","6.5","14","55","Tolérant","-38"
"STLOL","","Stellaria longifolia var. longifolia","Vivace","","","","","","","",""
"STLO2","","Stellaria longipes","Vivace","Printemps","Vert","4.8","8.5","10","55","Intermédiaire","-33"
"STLOL7","","Stellaria longipes ssp. longipes","Vivace","","","","","","","",""
"STME2","","Stellaria media","Annuelle, Vivace","","","","","","","",""
"STMEM","","Stellaria media ssp. media","Annuelle, Vivace","","","","","","","",""
"STPU","","Stellaria pubera","Vivace","","","","","","","",""
"STENA2","","Stenanthium","","","","","","","","",""
"STGR2","","Stenanthium gramineum","Vivace","","","","","","","",""
"STGRG2","","Stenanthium gramineum var. gramineum","Vivace","","","","","","","",""
"STGRR","","Stenanthium gramineum var. robustum","Vivace","","","","","","","",""
"STREP3","","Streptopus","","","","","","","","",""
"STAM2","","Streptopus amplexifolius","Vivace","","","","","","","",""
"STAMA2","","Streptopus amplexifolius var. amplexifolius","Vivace","","","","","","","",""
"STLA16","","Streptopus lanceolatus","Vivace","","","","","","","",""
"STLAL2","","Streptopus lanceolatus var. lanceolatus","Vivace","","","","","","","",""
"STLAR","","Streptopus lanceolatus var. roseus","Vivace","","","","","","","",""
"STROP","","Strophostyles","","","","","","","","",""
"STHE9","","Strophostyles helvola","Annuelle","","","","","","","",""
"STLE6","","Strophostyles leiosperma","Annuelle","","","","","","","",""
"STUM2","","Strophostyles umbellata","Vivace","","","","","","","",""
"STUCK","","Stuckenia","","","","","","","","",""
"STPE15","","Stuckenia pectinata","Vivace","","","","","","","",""
"STYLO3","","Stylophorum","","","","","","","","",""
"STDI3","","Stylophorum diphyllum","Vivace","","","","","","","",""
"STYLO4","","Stylosanthes","","","","","","","","",""
"STBI2","","Stylosanthes biflora","Vivace","","","","","","","",""
"STYPH2","","Styphnolobium","","","","","","","","",""
"STJA9","","Styphnolobium japonicum","Vivace","","","","","","","",""
"SUAED","","Suaeda","","","","","","","","",""
"SULI","","Suaeda linearis","Annuelle","","","","","","","",""
"SUMA","","Suaeda maritima","Vivace","","","","","","","",""
"SUMAM","","Suaeda maritima ssp. maritima","Vivace","","","","","","","",""
"SYMPH","","Symphoricarpos","","","","","","","","",""
"SYAL","","Symphoricarpos albus","Vivace","Printemps et été","Vert","6.0","7.8","12","45","Intolérant","-38"
"SYALA","","Symphoricarpos albus var. albus","Vivace","","","","","","","",""
"SYALL","","Symphoricarpos albus var. laevigatus","Vivace","","","","","","","",""
"SYOC","","Symphoricarpos occidentalis","Vivace","Printemps","Vert","6.6","8.0","12","45","Intermédiaire","-36"
"SYOR","","Symphoricarpos orbiculatus","Vivace","Printemps et été","Vert","5.5","7.5","15","60","Intermédiaire","-23"
"SYMPH4","","Symphyotrichum","","","","","","","","",""
"SYAM3","","Symphyotrichum ×amethystinum","Vivace","","","","","","","",""
"SYCO3","","Symphyotrichum concolor","Vivace","","","","","","","",""
"SYCO4","","Symphyotrichum cordifolium","Vivace","Printemps, été, automne","Gris-vert","5.7","7.5","16","50","Intolérant","-38"
"SYDE2","","Symphyotrichum depauperatum","Vivace","","","","","","","",""
"SYDR","","Symphyotrichum drummondii","Vivace","","","","","","","",""
"SYDRD","","Symphyotrichum drummondii var. drummondii","Vivace","","","","","","","",""
"SYDU2","","Symphyotrichum dumosum","Vivace","","","","","","","",""
"SYDUD2","","Symphyotrichum dumosum var. dumosum","Vivace","","","","","","","",""
"SYDUS","","Symphyotrichum dumosum var. strictior","Vivace","","","","","","","",""
"SYDUS2","","Symphyotrichum dumosum var. subulifolium","Vivace","","","","","","","",""
"SYER","","Symphyotrichum ericoides","Vivace","","","","","","","",""
"SYERE","","Symphyotrichum ericoides var. ericoides","Vivace","","","","","","","",""
"SYLA3","","Symphyotrichum laeve","Vivace","","","","","","","",""
"SYLAC","","Symphyotrichum laeve var. concinnum","Vivace","","","","","","","",""
"SYLAL3","","Symphyotrichum laeve var. laeve","Vivace","Printemps et été","Vert","5.8","7.8","20","35","Intolérant","-43"
"SYLA6","","Symphyotrichum lanceolatum","Vivace","","","","","","","",""
"SYLAL6","","Symphyotrichum lanceolatum ssp. lanceolatum","Vivace","","","","","","","",""
